xcoord,ycoord
116.3711164,39.9211446
116.3673426,39.9210766
116.3755936,39.9212561
116.4106041,39.9394373
116.4376374,39.9323907
116.438347,39.9398753
116.4345187,39.9210999
116.4718799,39.9071514
116.448951,39.9219866
116.3230845,39.8959802
116.3390834,39.9126107
116.3378111,39.9268295
116.3891085,39.8891822
116.2513817,39.8643135
116.4109964,39.9819896
116.4247394,39.9821459
116.401107,39.9669491
116.4594836,39.9869964
116.4565421,39.9958432
116.4570458,39.9849756
116.4640112,39.991316
116.4617563,39.9959521
116.4615729,40.0003595
116.461457,40.0035823
116.4611373,40.0103201
116.4565554,39.9996741
116.4515138,39.9956057
116.4766534,39.9829673
116.3472549,39.9751157
116.3394595,39.9750353
116.4404747,39.9847531
116.4040431,39.9871957
116.3636753,39.9752752
116.3595023,39.9752196
116.3892213,39.9477741
116.3891134,39.9500958
116.3420811,39.9750596
116.4124029,39.8958165
116.4145195,39.8825302
116.3465845,39.9361708
116.365833,39.9470026
116.3454137,40.0243775
116.2976192,39.9707884
116.3708911,39.990905
116.3497478,40.0190499
116.331624,40.0425176
116.3029555,40.0158058
116.5817508,40.0490482
116.5822185,40.0495139
116.490405,40.0013592
116.2988706,39.9894612
116.2983116,39.9961848
116.3275109,39.9751915
116.3115429,39.9747452
116.3151745,39.9658581
116.352506,39.9390433
116.3737671,39.9263809
116.4369882,39.9460816
116.4334166,39.9582794
116.4430883,39.953476
116.4399931,39.9555614
116.4402148,39.9488261
116.515322,39.9157447
116.5279991,39.9155194
116.4761451,39.9324883
116.4121788,39.8996345
116.3923376,39.8851202
116.3786957,39.8848296
116.3923755,39.8795878
116.3922369,39.8820985
116.3788449,39.8819431
116.3811289,39.8819195
116.3839031,39.8819654
116.3869767,39.8820528
116.4188009,39.8826502
116.4341819,39.8830811
116.45004,39.8831967
116.4710363,39.8830248
116.4215567,39.8860545
116.413336,39.8855238
116.4216119,39.892216
116.4496263,39.8922799
116.4550394,39.8921804
116.4555996,39.8921705
116.4713424,39.8919881
116.4840688,39.8919891
116.3395458,39.896547
116.3452728,39.8965558
116.3571154,39.8980853
116.3202222,39.8885614
116.3201386,39.8887916
116.3230807,39.8955231
116.3364876,39.9011604
116.3366428,39.9017774
116.3525482,39.8880973
116.3104116,39.8859149
116.3308435,39.9915777
116.3340768,39.9916524
116.3589183,39.9923744
116.3808518,39.9931125
116.3628331,39.9924886
116.3311311,39.9975242
116.3209057,39.9881535
116.3211279,39.984223
116.3091413,39.9985965
116.288959,39.995646
116.3156977,39.9910941
116.3295398,40.0081612
116.3337509,39.9993758
116.3092445,40.0035689
116.3124209,40.0113811
116.3117751,40.0148366
116.310317,40.016684
116.3075968,40.0248972
116.3072004,40.0278306
116.3007036,40.0340945
116.3007439,40.0339876
116.3045488,40.0349209
116.3047212,40.0349658
116.3046705,40.0350801
116.3044981,40.0350353
116.3088825,40.0360254
116.3035826,40.0370322
116.3033811,40.0369735
116.2958181,40.0431986
116.2931416,40.0475523
116.3012839,40.0470419
116.4487685,39.9792555
116.4490608,39.9796159
116.4471056,39.9671352
116.4188947,39.9579519
116.4256188,39.9581323
116.4188197,39.9607781
116.4186026,39.9677416
116.4308123,39.9614927
116.4226057,39.943189
116.4193184,39.943326
116.4195596,39.9350353
116.4323783,39.9397913
116.4608282,39.9306289
116.4721959,39.9326151
116.4666187,39.9326078
116.4552845,39.9325567
116.4904899,39.906535
116.4716369,39.8991463
116.4616265,39.8700611
116.5040253,39.7917715
116.3710477,39.9899503
116.4744553,39.7991158
116.3648368,39.9565163
116.4658596,39.8075709
116.5280542,39.7861683
116.5115133,39.7825687
116.5208236,39.7826774
116.4666078,39.8368243
116.3379882,39.9360735
116.2821233,39.9456648
116.3280135,39.9268061
116.3467607,39.9221877
116.3384484,39.9219568
116.3285271,39.9217494
116.3152486,39.9224378
116.357889,39.9391423
116.3622979,39.9391894
116.3665135,39.9392437
116.3502844,39.91248
116.3537284,39.9125171
116.3710436,39.9227525
116.3672434,39.9226143
116.358654,39.9225004
116.3572871,39.9126165
116.3583946,39.9195843
116.357017,39.9058489
116.4661722,39.8372583
116.4506735,39.8597612
116.2836054,39.9976118
116.4867188,39.7832535
116.5479598,40.0261293
116.5444253,40.0248734
116.4811684,39.9566118
116.3955429,39.9756137
116.4116654,39.9679418
116.4182485,39.9781766
116.4185358,39.9712426
116.4179397,39.9877305
116.4178103,39.9872716
116.4180529,39.9820847
116.443855,39.9739358
116.4509705,39.9828125
116.4509897,39.9874797
116.4720439,39.9788255
116.4871954,39.9925045
116.4553224,39.9400332
116.3903093,39.9269964
116.3934587,39.9219839
116.3875958,39.9217752
116.4816835,39.9568271
116.4018436,40.0080074
116.4017809,40.0042497
116.4013897,39.993466
116.3487345,40.0203726
116.4553521,39.9478652
116.4303392,39.9007161
116.5594779,40.0316244
116.57157,40.0392369
116.5971322,40.0309544
116.5576338,40.0619976
116.5554216,40.0626235
116.5489206,40.0644922
116.5643934,40.0611606
116.3499973,39.9170535
116.3492407,39.9363058
116.3728993,39.9500183
116.3737866,39.9500261
116.4102353,39.947705
116.5169797,40.0235661
116.5238068,40.0337
116.5154949,40.0156988
116.343849,39.9429953
116.3459408,39.9390277
116.3423845,39.9488105
116.3400051,39.9568514
